ASV,ITSclade,ITStype
asv204,C,C1
asv249,C,C1
asv297,C,C1
asv325,C,C1
asv354,C,C1
asv477,C,C1
asv663,C,C1
asv931,C,C1
asv1000,C,C1
asv1031,C,C1
asv1104,C,C1
asv1199,C,C1
asv1259,C,C1
asv1406,C,C1
asv1467,C,C1
asv1807,C,C1
asv2067,C,C1
asv2323,C,C1
asv3208,C,C1
asv3404,C,C1
asv5177,C,C1
asv5847,C,C1
asv7344,C,C1
asv339,C,C1
asv456,C,C1
asv2783,C,C1
asv349,C,C1
asv121,C,C1
asv834,C,C1
asv1446,C,C1
asv1563,C,C1
asv1649,C,C1
asv1671,C,C1
asv1609,C,C1
asv1791,C,C1
asv1906,C,C1
asv2007,C,C1
asv2203,C,C1
asv2475,C,C1
asv2607,C,C1
asv2892,C,C1
asv3052,C,C1
asv3430,C,C1
asv3666,C,C1
asv4051,C,C1
asv4206,C,C1
asv5182,C,C1
asv5504,C,C1
asv1871,C,C1
asv10504,C,C1
asv139,C,C1
asv2503,C,C1
asv524,C,C1
asv11449,C,C1
asv89,C,C1
asv858,C,C1
asv971,C,C1
asv1441,C,C1
asv2521,C,C1
asv57,C,C1
asv97,C,C1
asv626,C,C1
asv763,C,C1
asv1043,C,C1
asv1115,C,C1
asv1494,C,C1
asv1676,C,C1
asv1700,C,C1
asv1740,C,C1
asv1822,C,C1
asv2047,C,C1
asv1093,C,C1
asv183,C,C1
asv201,C,C1
asv3048,C,C1
asv8320,C,C1
asv10450,C,C1
asv6160,C,C1
asv293,C,C1
asv510,C,C1
asv621,C,C1
asv2489,C,C1
asv7884,C,C1
asv8559,C,C1
asv9473,C,C1
asv9935,C,C1
asv9948,C,C1
asv10464,C,C1
asv10490,C,C1
asv10567,C,C1
asv10604,C,C1
asv10586,C,C1
asv10758,C,C1
asv11853,C,C1
asv1,C,C1
asv17,C,C1
asv13,C,C1
asv58,C,C1
asv72,C,C1
asv73,C,C1
asv141,C,C1
asv154,C,C1
asv199,C,C1
asv226,C,C1
asv239,C,C1
asv242,C,C1
asv363,C,C1
asv427,C,C1
asv525,C,C1
asv547,C,C1
asv568,C,C1
asv609,C,C1
asv672,C,C1
asv708,C,C1
asv716,C,C1
asv828,C,C1
asv853,C,C1
asv900,C,C1
asv1059,C,C1
asv1280,C,C1
asv1370,C,C1
asv1431,C,C1
asv1512,C,C1
asv1725,C,C1
asv1790,C,C1
asv1810,C,C1
asv1872,C,C1
asv1889,C,C1
asv1976,C,C1
asv2301,C,C1
asv2343,C,C1
asv2813,C,C1
asv2993,C,C1
asv3210,C,C1
asv3241,C,C1
asv3321,C,C1
asv3602,C,C1
asv3601,C,C1
asv3781,C,C1
asv3903,C,C1
asv4114,C,C1
asv4158,C,C1
asv4442,C,C1
asv4563,C,C1
asv4564,C,C1
asv4636,C,C1
asv5421,C,C1
asv5503,C,C1
asv6049,C,C1
asv6162,C,C1
asv6550,C,C1
asv6989,C,C1
asv6999,C,C1
asv7354,C,C1
asv7521,C,C1
asv7890,C,C1
asv7893,C,C1
asv9184,C,C1
asv9657,C,C1
asv9664,C,C1
asv9936,C,C1
asv9939,C,C1
asv9952,C,C1
asv10432,C,C1
asv10438,C,C1
asv10443,C,C1
asv10442,C,C1
asv10477,C,C1
asv10491,C,C1
asv10492,C,C1
asv10556,C,C1
asv10578,C,C1
asv10576,C,C1
asv10577,C,C1
asv10593,C,C1
asv11826,C,C1
asv11847,C,C1
asv11850,C,C1
asv2565,C,C1
asv8331,C,C1
asv9405,C,C1
asv131,C,C1
asv376,C,C1
asv908,C,C1
asv916,C,C1
asv1937,C,C1
asv2342,C,C1
asv2941,C,C1
asv6691,C,C1
asv7512,C,C1
asv7889,C,C1
asv8778,C,C1
asv9938,C,C1
asv9953,C,C1
asv10462,C,C1
asv10582,C,C1
asv10884,C,C1
asv256,C,C1
asv319,C,C1
asv1546,C,C1
asv6548,C,C1
asv6848,C,C1
asv9956,C,C1
asv10560,C,C1
asv10564,C,C1
asv11860,C,C1
asv831,C,C1
asv8991,C,C1
asv10230,C,C1
asv3,C,C3
asv398,C,C3
asv1038,C,C3
asv1073,C,C3
asv1245,C,C3
asv1825,C,C3
asv2410,C,C3
asv3711,C,C3
asv4159,C,C3
asv4638,C,C3
asv4858,C,C3
asv6053,C,C3
asv6552,C,C3
asv8332,C,C3
asv8333,C,C3
asv8796,C,C3
asv9865,C,C3
asv9866,C,C3
asv11459,C,C3
asv29,C,C3
asv31,C,C3
asv45,C,C3
asv64,C,C3
asv291,C,C3
asv374,C,C3
asv422,C,C3
asv10006,C,C3
asv342,C,C3
asv2621,C,C3
asv3746,C,C3
asv1539,C,C3
asv2743,C,C3
asv266,C,C3
asv1627,C,C3
asv2764,C,C3
asv6008,C,C3
asv6551,C,C3
asv8,C,C4
asv2,C,C4
asv12,C,C4
asv21,C,C4
asv15,C,C4
asv22,C,C4
asv26,C,C4
asv25,C,C4
asv33,C,C4
asv9,C,C4
asv36,C,C4
asv37,C,C4
asv39,C,C4
asv41,C,C4
asv42,C,C4
asv43,C,C4
asv54,C,C4
asv53,C,C4
asv50,C,C4
asv52,C,C4
asv46,C,C4
asv65,C,C4
asv67,C,C4
asv69,C,C4
asv74,C,C4
asv78,C,C4
asv79,C,C4
asv75,C,C4
asv80,C,C4
asv84,C,C4
asv83,C,C4
asv85,C,C4
asv86,C,C4
asv88,C,C4
asv94,C,C4
asv104,C,C4
asv105,C,C4
asv106,C,C4
asv109,C,C4
asv119,C,C4
asv118,C,C4
asv122,C,C4
asv127,C,C4
asv128,C,C4
asv129,C,C4
asv132,C,C4
asv133,C,C4
asv134,C,C4
asv138,C,C4
asv142,C,C4
asv149,C,C4
asv151,C,C4
asv153,C,C4
asv155,C,C4
asv156,C,C4
asv158,C,C4
asv160,C,C4
asv165,C,C4
asv170,C,C4
asv177,C,C4
asv178,C,C4
asv179,C,C4
asv180,C,C4
asv184,C,C4
asv188,C,C4
asv198,C,C4
asv200,C,C4
asv186,C,C4
asv209,C,C4
asv220,C,C4
asv225,C,C4
asv227,C,C4
asv230,C,C4
asv233,C,C4
asv234,C,C4
asv235,C,C4
asv237,C,C4
asv245,C,C4
asv244,C,C4
asv252,C,C4
asv246,C,C4
asv254,C,C4
asv260,C,C4
asv261,C,C4
asv262,C,C4
asv265,C,C4
asv267,C,C4
asv276,C,C4
asv279,C,C4
asv278,C,C4
asv292,C,C4
asv298,C,C4
asv302,C,C4
asv305,C,C4
asv306,C,C4
asv313,C,C4
asv317,C,C4
asv321,C,C4
asv331,C,C4
asv336,C,C4
asv341,C,C4
asv344,C,C4
asv348,C,C4
asv353,C,C4
asv364,C,C4
asv365,C,C4
asv369,C,C4
asv375,C,C4
asv379,C,C4
asv382,C,C4
asv389,C,C4
asv386,C,C4
asv396,C,C4
asv397,C,C4
asv399,C,C4
asv401,C,C4
asv404,C,C4
asv406,C,C4
asv412,C,C4
asv429,C,C4
asv442,C,C4
asv443,C,C4
asv444,C,C4
asv462,C,C4
asv466,C,C4
asv469,C,C4
asv485,C,C4
asv483,C,C4
asv489,C,C4
asv495,C,C4
asv498,C,C4
asv506,C,C4
asv507,C,C4
asv511,C,C4
asv518,C,C4
asv527,C,C4
asv551,C,C4
asv557,C,C4
asv570,C,C4
asv578,C,C4
asv586,C,C4
asv591,C,C4
asv593,C,C4
asv594,C,C4
asv597,C,C4
asv602,C,C4
asv612,C,C4
asv614,C,C4
asv618,C,C4
asv635,C,C4
asv636,C,C4
asv638,C,C4
asv647,C,C4
asv653,C,C4
asv655,C,C4
asv660,C,C4
asv661,C,C4
asv662,C,C4
asv669,C,C4
asv680,C,C4
asv670,C,C4
asv698,C,C4
asv719,C,C4
asv720,C,C4
asv745,C,C4
asv746,C,C4
asv747,C,C4
asv760,C,C4
asv766,C,C4
asv767,C,C4
asv768,C,C4
asv772,C,C4
asv773,C,C4
asv714,C,C4
asv800,C,C4
asv808,C,C4
asv810,C,C4
asv817,C,C4
asv852,C,C4
asv857,C,C4
asv860,C,C4
asv871,C,C4
asv875,C,C4
asv880,C,C4
asv884,C,C4
asv907,C,C4
asv912,C,C4
asv914,C,C4
asv919,C,C4
asv930,C,C4
asv935,C,C4
asv937,C,C4
asv973,C,C4
asv983,C,C4
asv1001,C,C4
asv1005,C,C4
asv1021,C,C4
asv1039,C,C4
asv1047,C,C4
asv1057,C,C4
asv1067,C,C4
asv1068,C,C4
asv1072,C,C4
asv1077,C,C4
asv1090,C,C4
asv1096,C,C4
asv1105,C,C4
asv1121,C,C4
asv1127,C,C4
asv1138,C,C4
asv1149,C,C4
asv1156,C,C4
asv1165,C,C4
asv1164,C,C4
asv1177,C,C4
asv1178,C,C4
asv1200,C,C4
asv1210,C,C4
asv1216,C,C4
asv1221,C,C4
asv1237,C,C4
asv1243,C,C4
asv1248,C,C4
asv1272,C,C4
asv1310,C,C4
asv1322,C,C4
asv1371,C,C4
asv1425,C,C4
asv1430,C,C4
asv1435,C,C4
asv1436,C,C4
asv1450,C,C4
asv1472,C,C4
asv1488,C,C4
asv1597,C,C4
asv1613,C,C4
asv1614,C,C4
asv1626,C,C4
asv1630,C,C4
asv1634,C,C4
asv1647,C,C4
asv1662,C,C4
asv1701,C,C4
asv1720,C,C4
asv1751,C,C4
asv1778,C,C4
asv1788,C,C4
asv1823,C,C4
asv1824,C,C4
asv1859,C,C4
asv1887,C,C4
asv1886,C,C4
asv1893,C,C4
asv1905,C,C4
asv1915,C,C4
asv1930,C,C4
asv1944,C,C4
asv1964,C,C4
asv2026,C,C4
asv2028,C,C4
asv2036,C,C4
asv2073,C,C4
asv2105,C,C4
asv2137,C,C4
asv2162,C,C4
asv2275,C,C4
asv2276,C,C4
asv2289,C,C4
asv2302,C,C4
asv2324,C,C4
asv2341,C,C4
asv2389,C,C4
asv2439,C,C4
asv2455,C,C4
asv2504,C,C4
asv2522,C,C4
asv2566,C,C4
asv2584,C,C4
asv2587,C,C4
asv2606,C,C4
asv2605,C,C4
asv2624,C,C4
asv2658,C,C4
asv2675,C,C4
asv2761,C,C4
asv2744,C,C4
asv2801,C,C4
asv2803,C,C4
asv2890,C,C4
asv2891,C,C4
asv2907,C,C4
asv2937,C,C4
asv2942,C,C4
asv2965,C,C4
asv3013,C,C4
asv3051,C,C4
asv3146,C,C4
asv3165,C,C4
asv3209,C,C4
asv3242,C,C4
asv3268,C,C4
asv3288,C,C4
asv3471,C,C4
asv3470,C,C4
asv3469,C,C4
asv3472,C,C4
asv3498,C,C4
asv3561,C,C4
asv3565,C,C4
asv3566,C,C4
asv3706,C,C4
asv3821,C,C4
asv3952,C,C4
asv3951,C,C4
asv3996,C,C4
asv4044,C,C4
asv4046,C,C4
asv4111,C,C4
asv4110,C,C4
asv4203,C,C4
asv4204,C,C4
asv4208,C,C4
asv4207,C,C4
asv4376,C,C4
asv4375,C,C4
asv4378,C,C4
asv4441,C,C4
asv4566,C,C4
asv4634,C,C4
asv4633,C,C4
asv4635,C,C4
asv4654,C,C4
asv4709,C,C4
asv4853,C,C4
asv4855,C,C4
asv4854,C,C4
asv4857,C,C4
asv4984,C,C4
asv5104,C,C4
asv5103,C,C4
asv5102,C,C4
asv5178,C,C4
asv5179,C,C4
asv5181,C,C4
asv5261,C,C4
asv5258,C,C4
asv5259,C,C4
asv5260,C,C4
asv5262,C,C4
asv5335,C,C4
asv5334,C,C4
asv5420,C,C4
asv5419,C,C4
asv5502,C,C4
asv5506,C,C4
asv5669,C,C4
asv5668,C,C4
asv5752,C,C4
asv5749,C,C4
asv5754,C,C4
asv5848,C,C4
asv5852,C,C4
asv5855,C,C4
asv5952,C,C4
asv6161,C,C4
asv6163,C,C4
asv6293,C,C4
asv6290,C,C4
asv6289,C,C4
asv6420,C,C4
asv6419,C,C4
asv6543,C,C4
asv6542,C,C4
asv6544,C,C4
asv6547,C,C4
asv6545,C,C4
asv6549,C,C4
asv6690,C,C4
asv6692,C,C4
asv6693,C,C4
asv6697,C,C4
asv6698,C,C4
asv6700,C,C4
asv6845,C,C4
asv6846,C,C4
asv6847,C,C4
asv6852,C,C4
asv6853,C,C4
asv6991,C,C4
asv6994,C,C4
asv6992,C,C4
asv6998,C,C4
asv7001,C,C4
asv7002,C,C4
asv7167,C,C4
asv7168,C,C4
asv7172,C,C4
asv7174,C,C4
asv7175,C,C4
asv7349,C,C4
asv7342,C,C4
asv7345,C,C4
asv7346,C,C4
asv7347,C,C4
asv7348,C,C4
asv7351,C,C4
asv7352,C,C4
asv7356,C,C4
asv7511,C,C4
asv7509,C,C4
asv7513,C,C4
asv7514,C,C4
asv7515,C,C4
asv7516,C,C4
asv7517,C,C4
asv7522,C,C4
asv7523,C,C4
asv7700,C,C4
asv7702,C,C4
asv7701,C,C4
asv7709,C,C4
asv7706,C,C4
asv7711,C,C4
asv7714,C,C4
asv7715,C,C4
asv7716,C,C4
asv7717,C,C4
asv7885,C,C4
asv7883,C,C4
asv7888,C,C4
asv7887,C,C4
asv7894,C,C4
asv7897,C,C4
asv8099,C,C4
asv8097,C,C4
asv8098,C,C4
asv8102,C,C4
asv8100,C,C4
asv8104,C,C4
asv8103,C,C4
asv8105,C,C4
asv8106,C,C4
asv8107,C,C4
asv8108,C,C4
asv8109,C,C4
asv8318,C,C4
asv8322,C,C4
asv8323,C,C4
asv8328,C,C4
asv8330,C,C4
asv8329,C,C4
asv8334,C,C4
asv8543,C,C4
asv8545,C,C4
asv8546,C,C4
asv8548,C,C4
asv8549,C,C4
asv8551,C,C4
asv8558,C,C4
asv8560,C,C4
asv8561,C,C4
asv8563,C,C4
asv8774,C,C4
asv8776,C,C4
asv8775,C,C4
asv8777,C,C4
asv8780,C,C4
asv8784,C,C4
asv8785,C,C4
asv8786,C,C4
asv8788,C,C4
asv8789,C,C4
asv8790,C,C4
asv8791,C,C4
asv8792,C,C4
asv8793,C,C4
asv8795,C,C4
asv8779,C,C4
asv8988,C,C4
asv8987,C,C4
asv8985,C,C4
asv8992,C,C4
asv8994,C,C4
asv8993,C,C4
asv9001,C,C4
asv9000,C,C4
asv9002,C,C4
asv9003,C,C4
asv9007,C,C4
asv9006,C,C4
asv9011,C,C4
asv9010,C,C4
asv9027,C,C4
asv9026,C,C4
asv9185,C,C4
asv9187,C,C4
asv9190,C,C4
asv9189,C,C4
asv9186,C,C4
asv9191,C,C4
asv9188,C,C4
asv9192,C,C4
asv9193,C,C4
asv9194,C,C4
asv9197,C,C4
asv9204,C,C4
asv9205,C,C4
asv9206,C,C4
asv9207,C,C4
asv9208,C,C4
asv9210,C,C4
asv9214,C,C4
asv9213,C,C4
asv9216,C,C4
asv9196,C,C4
asv9402,C,C4
asv9406,C,C4
asv9407,C,C4
asv9410,C,C4
asv9412,C,C4
asv9413,C,C4
asv9419,C,C4
asv9418,C,C4
asv9421,C,C4
asv9414,C,C4
asv9423,C,C4
asv9426,C,C4
asv9428,C,C4
asv9436,C,C4
asv9437,C,C4
asv9438,C,C4
asv9441,C,C4
asv9443,C,C4
asv9459,C,C4
asv9475,C,C4
asv9551,C,C4
asv9619,C,C4
asv9620,C,C4
asv9624,C,C4
asv9625,C,C4
asv9627,C,C4
asv9626,C,C4
asv9629,C,C4
asv9631,C,C4
asv9633,C,C4
asv9632,C,C4
asv9634,C,C4
asv9635,C,C4
asv9641,C,C4
asv9658,C,C4
asv9661,C,C4
asv9662,C,C4
asv9656,C,C4
asv9668,C,C4
asv9669,C,C4
asv9670,C,C4
asv9671,C,C4
asv9675,C,C4
asv9679,C,C4
asv9706,C,C4
asv9708,C,C4
asv9726,C,C4
asv9733,C,C4
asv9820,C,C4
asv9867,C,C4
asv9868,C,C4
asv9927,C,C4
asv9928,C,C4
asv9926,C,C4
asv9930,C,C4
asv9929,C,C4
asv9940,C,C4
asv9942,C,C4
asv9943,C,C4
asv9951,C,C4
asv9950,C,C4
asv9955,C,C4
asv9964,C,C4
asv9966,C,C4
asv9967,C,C4
asv9968,C,C4
asv9978,C,C4
asv9979,C,C4
asv9982,C,C4
asv9985,C,C4
asv9986,C,C4
asv9987,C,C4
asv9989,C,C4
asv9993,C,C4
asv9992,C,C4
asv9994,C,C4
asv9995,C,C4
asv9997,C,C4
asv9999,C,C4
asv10001,C,C4
asv10002,C,C4
asv10003,C,C4
asv10004,C,C4
asv10005,C,C4
asv10007,C,C4
asv10008,C,C4
asv10009,C,C4
asv10011,C,C4
asv10010,C,C4
asv10015,C,C4
asv10055,C,C4
asv10056,C,C4
asv10057,C,C4
asv10058,C,C4
asv10098,C,C4
asv10109,C,C4
asv10111,C,C4
asv10112,C,C4
asv10110,C,C4
asv10113,C,C4
asv10224,C,C4
asv10225,C,C4
asv10228,C,C4
asv10231,C,C4
asv10233,C,C4
asv10232,C,C4
asv10327,C,C4
asv10426,C,C4
asv10427,C,C4
asv10428,C,C4
asv10429,C,C4
asv10435,C,C4
asv10437,C,C4
asv10440,C,C4
asv10439,C,C4
asv10445,C,C4
asv10447,C,C4
asv10446,C,C4
asv10452,C,C4
asv10453,C,C4
asv10454,C,C4
asv10456,C,C4
asv10458,C,C4
asv10459,C,C4
asv10466,C,C4
asv10468,C,C4
asv10470,C,C4
asv10473,C,C4
asv10478,C,C4
asv10480,C,C4
asv10481,C,C4
asv10484,C,C4
asv10485,C,C4
asv10493,C,C4
asv10497,C,C4
asv10502,C,C4
asv10505,C,C4
asv10506,C,C4
asv10507,C,C4
asv10530,C,C4
asv10531,C,C4
asv10533,C,C4
asv10538,C,C4
asv10539,C,C4
asv10541,C,C4
asv10542,C,C4
asv10551,C,C4
asv10552,C,C4
asv10553,C,C4
asv10554,C,C4
asv10555,C,C4
asv10559,C,C4
asv10562,C,C4
asv10566,C,C4
asv10568,C,C4
asv10569,C,C4
asv10572,C,C4
asv10579,C,C4
asv10581,C,C4
asv10590,C,C4
asv10587,C,C4
asv10591,C,C4
asv10599,C,C4
asv10598,C,C4
asv10597,C,C4
asv10600,C,C4
asv10601,C,C4
asv10603,C,C4
asv10605,C,C4
asv10607,C,C4
asv10608,C,C4
asv10612,C,C4
asv10610,C,C4
asv10611,C,C4
asv10613,C,C4
asv10614,C,C4
asv10615,C,C4
asv10617,C,C4
asv10609,C,C4
asv10616,C,C4
asv10618,C,C4
asv10606,C,C4
asv10631,C,C4
asv10632,C,C4
asv10726,C,C4
asv10724,C,C4
asv10728,C,C4
asv10731,C,C4
asv10729,C,C4
asv10733,C,C4
asv10756,C,C4
asv10888,C,C4
asv10886,C,C4
asv10887,C,C4
asv10889,C,C4
asv10891,C,C4
asv10934,C,C4
asv10937,C,C4
asv10933,C,C4
asv10936,C,C4
asv10938,C,C4
asv10940,C,C4
asv10941,C,C4
asv10942,C,C4
asv10944,C,C4
asv10945,C,C4
asv11230,C,C4
asv11229,C,C4
asv11231,C,C4
asv11234,C,C4
asv11236,C,C4
asv11235,C,C4
asv11239,C,C4
asv11240,C,C4
asv11446,C,C4
asv11444,C,C4
asv11445,C,C4
asv11447,C,C4
asv11448,C,C4
asv11450,C,C4
asv11451,C,C4
asv11452,C,C4
asv11453,C,C4
asv11454,C,C4
asv11455,C,C4
asv11456,C,C4
asv11458,C,C4
asv11457,C,C4
asv11763,C,C4
asv11769,C,C4
asv11770,C,C4
asv11774,C,C4
asv11777,C,C4
asv11779,C,C4
asv11781,C,C4
asv11786,C,C4
asv11788,C,C4
asv11789,C,C4
asv11795,C,C4
asv11796,C,C4
asv11806,C,C4
asv11811,C,C4
asv11813,C,C4
asv11815,C,C4
asv11816,C,C4
asv11818,C,C4
asv11820,C,C4
asv11819,C,C4
asv11825,C,C4
asv11823,C,C4
asv11822,C,C4
asv11824,C,C4
asv11828,C,C4
asv11830,C,C4
asv11834,C,C4
asv11835,C,C4
asv11837,C,C4
asv11840,C,C4
asv11843,C,C4
asv11851,C,C4
asv11852,C,C4
asv11854,C,C4
asv11856,C,C4
asv11858,C,C4
asv11859,C,C4
asv11861,C,C4
asv38,C,C4
asv87,C,C4
asv108,C,C4
asv174,C,C4
asv447,C,C4
asv814,C,C4
asv894,C,C4
asv1374,C,C4
asv1796,C,C4
asv2224,C,C4
asv2583,C,C4
asv2620,C,C4
asv2760,C,C4
asv3100,C,C4
asv3122,C,C4
asv3239,C,C4
asv3705,C,C4
asv4708,C,C4
asv5590,C,C4
asv5951,C,C4
asv6438,C,C4
asv6993,C,C4
asv7704,C,C4
asv7705,C,C4
asv7708,C,C4
asv8110,C,C4
asv8547,C,C4
asv8798,C,C4
asv8799,C,C4
asv8986,C,C4
asv8990,C,C4
asv9417,C,C4
asv9422,C,C4
asv9425,C,C4
asv9640,C,C4
asv9663,C,C4
asv9676,C,C4
asv9677,C,C4
asv9681,C,C4
asv9932,C,C4
asv10099,C,C4
asv10114,C,C4
asv10548,C,C4
asv10592,C,C4
asv10723,C,C4
asv10885,C,C4
asv10939,C,C4
asv10949,C,C4
asv11814,C,C4
asv4,C,C4
asv30,C,C4
asv47,C,C4
asv51,C,C4
asv111,C,C4
asv120,C,C4
asv150,C,C4
asv169,C,C4
asv172,C,C4
asv238,C,C4
asv269,C,C4
asv272,C,C4
asv285,C,C4
asv289,C,C4
asv294,C,C4
asv308,C,C4
asv347,C,C4
asv371,C,C4
asv388,C,C4
asv407,C,C4
asv487,C,C4
asv559,C,C4
asv584,C,C4
asv782,C,C4
asv786,C,C4
asv897,C,C4
asv978,C,C4
asv986,C,C4
asv993,C,C4
asv1016,C,C4
asv1044,C,C4
asv1125,C,C4
asv1180,C,C4
asv1233,C,C4
asv1561,C,C4
asv1707,C,C4
asv1812,C,C4
asv1846,C,C4
asv1894,C,C4
asv1904,C,C4
asv2027,C,C4
asv2261,C,C4
asv2387,C,C4
asv2409,C,C4
asv2721,C,C4
asv2909,C,C4
asv3213,C,C4
asv3289,C,C4
asv3431,C,C4
asv3783,C,C4
asv3824,C,C4
asv3902,C,C4
asv4112,C,C4
asv4639,C,C4
asv4776,C,C4
asv4859,C,C4
asv5101,C,C4
asv5180,C,C4
asv5497,C,C4
asv5499,C,C4
asv5500,C,C4
asv5591,C,C4
asv6166,C,C4
asv6318,C,C4
asv6425,C,C4
asv6582,C,C4
asv6855,C,C4
asv7169,C,C4
asv7350,C,C4
asv7707,C,C4
asv7718,C,C4
asv7886,C,C4
asv7911,C,C4
asv8797,C,C4
asv8989,C,C4
asv9008,C,C4
asv9025,C,C4
asv9037,C,C4
asv9219,C,C4
asv9217,C,C4
asv9408,C,C4
asv9409,C,C4
asv9415,C,C4
asv9416,C,C4
asv9427,C,C4
asv9628,C,C4
asv9680,C,C4
asv9705,C,C4
asv9704,C,C4
asv9937,C,C4
asv9946,C,C4
asv9949,C,C4
asv10000,C,C4
asv10100,C,C4
asv10229,C,C4
asv10457,C,C4
asv10471,C,C4
asv10472,C,C4
asv10475,C,C4
asv10479,C,C4
asv10483,C,C4
asv10486,C,C4
asv10487,C,C4
asv10534,C,C4
asv10543,C,C4
asv10550,C,C4
asv10580,C,C4
asv10602,C,C4
asv10619,C,C4
asv10630,C,C4
asv10633,C,C4
asv10725,C,C4
asv10727,C,C4
asv10730,C,C4
asv10732,C,C4
asv10757,C,C4
asv10759,C,C4
asv10890,C,C4
asv10932,C,C4
asv10935,C,C4
asv10943,C,C4
asv10948,C,C4
asv11228,C,C4
asv11227,C,C4
asv11232,C,C4
asv11233,C,C4
asv11237,C,C4
asv11238,C,C4
asv11241,C,C4
asv44,C,C4
asv1040,C,C4
asv3782,C,C4
asv4777,C,C4
asv5336,C,C4
asv5333,C,C4
asv6048,C,C4
asv6164,C,C4
asv6995,C,C4
asv7891,C,C4
asv9623,C,C4
asv9642,C,C4
asv9965,C,C4
asv10465,C,C4
asv10532,C,C4
asv10540,C,C4
asv1186,C,C4
asv6546,C,C4
asv10469,C,C4
asv10474,C,C4
asv10585,C,C4
asv10947,C,C4
asv10950,C,C4
asv4640,C,C4
asv6553,C,C4
asv7357,C,C4
asv8335,C,C4
asv8565,C,C4
asv9442,C,C4
asv9674,C,C4
asv10226,C,C4
asv10946,C,C4
asv5425,C,C4
asv8564,C,C4
asv9215,C,C4
asv3570,C,C4
asv290,C,C4
asv2832,C,C4
asv145,C,C4
asv2604,C,C4
asv3377,C,C4
asv735,C,C4
asv1834,C,C4
asv11849,C,C4
asv3164,C,C6
asv1950,C,C7
asv6168,C,C7
asv2943,C,C9
asv7170,C,C9
asv2622,C,C9
asv6,D,D1
asv126,D,D1
asv194,D,D1
asv224,D,D1
asv232,D,D1
asv247,D,D1
asv286,D,D1
asv318,D,D1
asv393,D,D1
asv432,D,D1
asv631,D,D1
asv633,D,D1
asv659,D,D1
asv803,D,D1
asv903,D,D1
asv953,D,D1
asv1240,D,D1
asv1283,D,D1
asv1696,D,D1
asv2438,D,D1
asv3032,D,D1
asv3148,D,D1
asv3872,D,D1
asv5850,D,D1
asv7710,D,D1
asv8316,D,D1
asv8781,D,D1
asv9963,D,D1
asv10518,D,D1
asv10545,D,D1
asv10549,D,D1
asv1513,D,D1
asv7,D,D1
asv40,D,D1
asv68,D,D1
asv137,D,D1
asv152,D,D1
asv166,D,D1
asv411,D,D1
asv452,D,D1
asv455,D,D1
asv600,D,D1
asv608,D,D1
asv756,D,D1
asv769,D,D1
asv840,D,D1
asv901,D,D1
asv905,D,D1
asv918,D,D1
asv956,D,D1
asv1112,D,D1
asv1264,D,D1
asv1540,D,D1
asv1602,D,D1
asv1835,D,D1
asv1843,D,D1
asv1993,D,D1
asv2106,D,D1
asv2223,D,D1
asv2543,D,D1
asv2745,D,D1
